[Sensor_ID],[loc_x],[loc_y],[loc_z],[n_x],[n_y],[n_z]
FB10_S1P,-0.85020970,-0.39645927,-0.15645621,-0.90030151,-0.41981746,0.11493707
FB10_S2P,-0.95828538,-0.44685578,-0.077077734,-0.44353115,-0.20682196,0.87206924
FB10_S3P,-0.95828538,-0.44685578,0.077077734,0.44353115,0.20682196,0.87206924
FB10_S4P,-0.85020970,-0.39645927,0.15645621,0.90030151,0.41981746,0.11493707
FB01_S1R,-0.45480119,-0.82048301,-0.15645621,-0.055722603,-0.10052623,-0.99337280
FB01_S2R,-0.51261392,-0.92477993,-0.077077734,-0.42278758,-0.76272893,-0.48938248
FB01_S3R,-0.51261392,-0.92477993,0.077077734,-0.42278758,-0.76272893,0.48938248
FB01_S4R,-0.45480119,-0.82048301,0.15645621,-0.055722603,-0.10052623,0.99337280
FB02_S1R,0.11432591,-0.93111013,-0.15645621,0.014007302,-0.11408035,-0.99337280
FB02_S2R,0.12885862,-1.0494696,-0.077077734,0.10627847,-0.86556897,-0.48938248
FB02_S3R,0.12885862,-1.0494696,0.077077734,0.10627847,-0.86556897,0.48938248
FB02_S4R,0.11432591,-0.93111013,0.15645621,0.014007302,-0.11408035,0.99337280
FB03_S1R,0.63978440,-0.68608484,-0.15645621,0.078386893,-0.084059658,-0.99337280
FB03_S2R,0.72111156,-0.77329753,-0.077077734,0.59474976,-0.63779109,-0.48938248
FB03_S3R,0.72111156,-0.77329753,0.077077734,0.59474976,-0.63779109,0.48938248
FB03_S4R,0.63978440,-0.68608484,0.15645621,0.078386893,-0.084059658,0.99337280
FB04_S1R,0.92086700,-0.17899846,-0.15645621,0.11282536,-0.021931033,-0.99337280
FB04_S2R,1.0379244,-0.20175211,-0.077077734,0.85604686,-0.16639870,-0.48938248
FB04_S3R,1.0379244,-0.20175211,0.077077734,0.85604686,-0.16639870,0.48938248
FB04_S4R,0.92086700,-0.17899846,0.15645621,0.11282536,-0.021931033,0.99337280
FB05_S1R,0.85020969,0.39645929,-0.15645621,0.10416837,0.048574506,-0.99337280
FB05_S2R,0.95828537,0.44685580,-0.077077734,0.79036314,0.36855238,-0.48938248
FB05_S3R,0.95828537,0.44685580,0.077077734,0.79036314,0.36855238,0.48938248
FB05_S4R,0.85020969,0.39645929,0.15645621,0.10416837,0.048574506,0.99337280
FB06_S1R,0.45480117,0.82048302,-0.15645621,0.055722600,0.10052623,-0.99337280
FB06_S2R,0.51261390,0.92477994,-0.077077734,0.42278756,0.76272894,-0.48938248
FB06_S3R,0.51261390,0.92477994,0.077077734,0.42278756,0.76272894,0.48938248
FB06_S4R,0.45480117,0.82048302,0.15645621,0.055722600,0.10052623,0.99337280
FB07_S1R,-0.11432594,0.93111013,-0.15645621,-0.014007304,0.11408035,-0.99337280
FB07_S2R,-0.12885865, 1.0494696,-0.077077734,-0.10627849,0.86556897,-0.48938248
FB07_S3R,-0.12885865, 1.0494696,0.077077734,-0.10627849,0.86556897,0.48938248
FB07_S4R,-0.11432594,0.93111013,0.15645621,-0.014007304,0.11408035,0.99337280
